ImageId,Label
1,3
2,6
3,5
4,9
5,2
6,3
7,7
8,5
9,1
10,5
11,3
12,0
13,3
14,6
15,8
16,6
17,5
18,5
19,6
20,5
21,5
22,5
23,5
24,5
25,5
26,4
27,7
28,8
29,5
30,4
31,5
32,5
33,8
34,7
35,7
36,6
37,4
38,5
39,6
40,9
41,7
42,8
43,5
44,8
45,6
46,7
47,6
48,7
49,5
50,5
51,3
52,0
53,2
54,2
55,5
56,8
57,5
58,2
59,7
60,5
61,1
62,6
63,5
64,8
65,6
66,3
67,5
68,5
69,5
70,8
71,5
72,5
73,0
74,6
75,8
76,6
77,5
78,5
79,7
80,8
81,6
82,6
83,5
84,9
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,8
93,2
94,7
95,2
96,5
97,5
98,6
99,6
100,5
101,4
102,3
103,6
104,7
105,6
106,5
107,6
108,7
109,5
110,5
111,8
112,5
113,7
114,9
115,5
116,5
117,6
118,5
119,5
120,5
121,3
122,5
123,8
124,5
125,8
126,2
127,3
128,5
129,5
130,2
131,5
132,7
133,6
134,8
135,5
136,2
137,6
138,5
139,5
140,6
141,6
142,7
143,6
144,2
145,2
146,5
147,0
148,9
149,7
150,5
151,7
152,6
153,6
154,5
155,7
156,6
157,5
158,5
159,5
160,5
161,6
162,0
163,7
164,7
165,0
166,5
167,5
168,5
169,5
170,7
171,7
172,8
173,0
174,2
175,4
176,5
177,5
178,3
179,9
180,5
181,6
182,5
183,6
184,5
185,0
186,5
187,5
188,5
189,5
190,5
191,7
192,7
193,7
194,4
195,8
196,6
197,0
198,5
199,5
200,2
201,5
202,7
203,5
204,2
205,5
206,5
207,5
208,5
209,3
210,2
211,5
212,1
213,2
214,5
215,0
216,2
217,5
218,8
219,0
220,6
221,5
222,7
223,5
224,5
225,1
226,5
227,6
228,3
229,6
230,5
231,5
232,0
233,4
234,2
235,5
236,6
237,6
238,5
239,2
240,5
241,5
242,6
243,5
244,6
245,5
246,3
247,5
248,3
249,1
250,6
251,0
252,5
253,5
254,1
255,5
256,0
257,5
258,2
259,7
260,7
261,8
262,5
263,2
264,2
265,7
266,5
267,6
268,5
269,6
270,6
271,7
272,6
273,7
274,5
275,1
276,5
277,7
278,5
279,6
280,6
281,6
282,7
283,7
284,6
285,6
286,6
287,7
288,5
289,3
290,6
291,6
292,8
293,6
294,6
295,5
296,5
297,6
298,7
299,6
300,5
301,5
302,5
303,5
304,5
305,7
306,3
307,5
308,5
309,5
310,2
311,5
312,5
313,5
314,6
315,5
316,5
317,6
318,6
319,5
320,5
321,6
322,5
323,7
324,8
325,2
326,7
327,6
328,2
329,5
330,6
331,7
332,2
333,5
334,6
335,2
336,2
337,5
338,5
339,7
340,5
341,0
342,5
343,6
344,0
345,2
346,5
347,5
348,2
349,7
350,5
351,7
352,3
353,7
354,6
355,8
356,2
357,1
358,6
359,6
360,4
361,3
362,6
363,6
364,5
365,9
366,5
367,8
368,7
369,3
370,2
371,9
372,5
373,6
374,5
375,8
376,6
377,5
378,2
379,5
380,5
381,5
382,3
383,5
384,3
385,3
386,3
387,5
388,5
389,0
390,6
391,5
392,5
393,5
394,5
395,3
396,7
397,4
398,2
399,8
400,5
401,7
402,8
403,5
404,6
405,5
406,5
407,7
408,2
409,5
410,5
411,7
412,5
413,5
414,3
415,3
416,5
417,5
418,4
419,7
420,2
421,2
422,3
423,2
424,5
425,5
426,8
427,5
428,5
429,5
430,2
431,1
432,5
433,5
434,2
435,6
436,5
437,6
438,6
439,5
440,6
441,6
442,6
443,2
444,8
445,5
446,5
447,5
448,6
449,2
450,2
451,7
452,8
453,8
454,5
455,2
456,5
457,5
458,1
459,5
460,0
461,5
462,6
463,2
464,6
465,9
466,3
467,0
468,7
469,7
470,9
471,4
472,6
473,6
474,6
475,5
476,5
477,8
478,6
479,5
480,4
481,6
482,5
483,7
484,7
485,5
486,5
487,2
488,5
489,5
490,5
491,7
492,7
493,2
494,5
495,7
496,5
497,5
498,6
499,0
500,5
501,2
502,7
503,5
504,6
505,5
506,6
507,6
508,6
509,3
510,6
511,5
512,4
513,6
514,7
515,6
516,5
517,7
518,7
519,7
520,5
521,5
522,5
523,6
524,5
525,2
526,6
527,6
528,5
529,6
530,8
531,5
532,9
533,0
534,6
535,5
536,6
537,5
538,4
539,5
540,6
541,5
542,5
543,6
544,7
545,6
546,5
547,6
548,7
549,8
550,2
551,6
552,7
553,6
554,9
555,5
556,5
557,9
558,5
559,6
560,5
561,5
562,5
563,1
564,7
565,7
566,5
567,5
568,0
569,5
570,5
571,6
572,7
573,5
574,8
575,1
576,5
577,7
578,6
579,5
580,6
581,5
582,9
583,3
584,7
585,5
586,8
587,3
588,4
589,5
590,0
591,2
592,5
593,6
594,7
595,2
596,1
597,8
598,6
599,8
600,8
601,5
602,5
603,7
604,5
605,6
606,7
607,7
608,5
609,7
610,2
611,6
612,7
613,5
614,1
615,3
616,7
617,6
618,5
619,6
620,9
621,1
622,5
623,9
624,2
625,0
626,3
627,5
628,5
629,7
630,3
631,5
632,6
633,4
634,7
635,5
636,5
637,5
638,2
639,3
640,4
641,3
642,7
643,5
644,6
645,7
646,7
647,2
648,5
649,6
650,8
651,5
652,7
653,8
654,7
655,2
656,4
657,8
658,5
659,7
660,3
661,6
662,5
663,2
664,6
665,8
666,5
667,2
668,5
669,5
670,5
671,5
672,5
673,5
674,2
675,7
676,5
677,5
678,8
679,5
680,5
681,6
682,8
683,5
684,6
685,5
686,7
687,5
688,3
689,6
690,6
691,3
692,5
693,5
694,2
695,7
696,6
697,9
698,5
699,6
700,5
701,0
702,5
703,5
704,5
705,7
706,9
707,6
708,1
709,8
710,3
711,6
712,6
713,3
714,7
715,5
716,6
717,5
718,5
719,2
720,0
721,5
722,0
723,5
724,5
725,5
726,5
727,5
728,7
729,6
730,7
731,7
732,5
733,8
734,8
735,1
736,5
737,6
738,7
739,8
740,6
741,6
742,7
743,5
744,8
745,6
746,6
747,2
748,5
749,5
750,5
751,5
752,6
753,6
754,5
755,5
756,7
757,7
758,6
759,6
760,6
761,5
762,5
763,6
764,6
765,5
766,0
767,5
768,5
769,5
770,5
771,6
772,5
773,0
774,6
775,5
776,5
777,6
778,7
779,6
780,2
781,0
782,5
783,5
784,1
785,3
786,5
787,5
788,6
789,7
790,4
791,6
792,0
793,5
794,5
795,2
796,1
797,1
798,6
799,3
800,5
801,5
802,1
803,6
804,5
805,6
806,6
807,3
808,6
809,9
810,3
811,3
812,7
813,6
814,5
815,5
816,5
817,6
818,7
819,7
820,1
821,0
822,8
823,9
824,3
825,5
826,1
827,9
828,6
829,6
830,5
831,5
832,5
833,2
834,5
835,5
836,7
837,7
838,1
839,7
840,6
841,6
842,6
843,5
844,5
845,5
846,2
847,8
848,6
849,5
850,1
851,6
852,2
853,7
854,2
855,5
856,3
857,6
858,5
859,8
860,5
861,7
862,5
863,7
864,5
865,2
866,2
867,6
868,0
869,6
870,5
871,5
872,3
873,5
874,0
875,7
876,0
877,5
878,2
879,2
880,5
881,8
882,5
883,3
884,7
885,5
886,7
887,9
888,2
889,5
890,5
891,5
892,3
893,2
894,5
895,3
896,5
897,8
898,5
899,6
900,7
901,6
902,6
903,5
904,5
905,2
906,5
907,7
908,5
909,4
910,3
911,2
912,7
913,5
914,5
915,7
916,7
917,0
918,7
919,2
920,2
921,8
922,6
923,5
924,4
925,5
926,5
927,3
928,3
929,5
930,6
931,6
932,5
933,5
934,5
935,2
936,5
937,2
938,7
939,5
940,3
941,7
942,6
943,3
944,8
945,6
946,5
947,6
948,5
949,5
950,3
951,5
952,5
953,6
954,3
955,5
956,5
957,8
958,7
959,5
960,5
961,8
962,7
963,9
964,5
965,7
966,5
967,5
968,5
969,7
970,0
971,5
972,5
973,5
974,7
975,2
976,6
977,9
978,6
979,5
980,6
981,8
982,9
983,6
984,5
985,0
986,5
987,6
988,2
989,6
990,1
991,5
992,7
993,5
994,6
995,5
996,6
997,7
998,6
999,5
1000,2
1001,8
1002,5
1003,7
1004,6
1005,0
1006,2
1007,0
1008,7
1009,6
1010,0
1011,3
1012,5
1013,7
1014,0
1015,2
1016,6
1017,6
1018,7
1019,5
1020,5
1021,7
1022,5
1023,5
1024,6
1025,5
1026,1
1027,1
1028,7
1029,6
1030,5
1031,8
1032,5
1033,7
1034,6
1035,5
1036,6
1037,3
1038,6
1039,6
1040,5
1041,5
1042,0
1043,5
1044,6
1045,6
1046,5
1047,6
1048,7
1049,6
1050,6
1051,6
1052,5
1053,6
1054,5
1055,6
1056,5
1057,5
1058,2
1059,7
1060,7
1061,5
1062,2
1063,5
1064,2
1065,9
1066,5
1067,2
1068,5
1069,5
1070,2
1071,5
1072,8
1073,6
1074,5
1075,5
1076,6
1077,1
1078,5
1079,8
1080,3
1081,0
1082,5
1083,6
1084,0
1085,2
1086,6
1087,7
1088,6
1089,7
1090,7
1091,5
1092,6
1093,2
1094,3
1095,3
1096,5
1097,7
1098,7
1099,2
1100,6
1101,5
1102,5
